year,MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
2016,4387395,161491554,05/28/2016,05/28/2016,14:00:00,05/28/2016,14:22:00,105,,20,934 MAYSON TURNER RD NW,0430,1315,20,1,Day,Sat,26,AGG ASSAULT,Washington Park,K,-84.418480000000002,33.758240000000001
2016,4387396,161491557,05/28/2016,05/28/2016,13:40:00,05/28/2016,14:40:00,411,,,2975 HEADLAND DR SW @BIG LOTS - HEADLAND,0640,2305,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Greenbriar,R,-84.487200000000001,33.691679999999998
2016,4387397,161491585,05/28/2016,05/28/2016,13:00:00,05/28/2016,14:30:00,414,,,3670 CAMP CREEK PKWY,0640,2305,,1,Day,Sat,21,LARCENY-FROM VEHICLE,Princeton Lakes,P,-84.508589999999998,33.655000000000001
2016,4387398,161491594,05/28/2016,05/28/2016,14:25:00,05/28/2016,14:38:00,202,,,1203 W PACES FERRY RD NW,0640,2305,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Randall Mill,A,-84.427400000000006,33.850050000000003
2016,4387399,161491604,05/28/2016,05/28/2016,14:00:00,05/28/2016,14:55:00,306,,,1919 METROPOLITAN PKWY SW,0650,2304,,1,Day,Sat,12,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.410169999999994,33.702779999999997
2016,4387400,161491606,05/28/2016,05/28/2016,14:40:00,05/28/2016,14:45:00,402,,,1325 PLAZA AVE SW,0640,2305,,1,Day,Sat,20,LARCENY-FROM VEHICLE,Bush Mountain,S,-84.431129999999996,33.728299999999997
2016,4387401,161491624,05/28/2016,05/27/2016,15:54:00,05/27/2016,16:00:00,411,,A,2975 HEADLAND DR SW,0630,2303,,1,Eve,Fri,7,LARCENY-NON VEHICLE,Greenbriar,R,-84.486810000000006,33.68965
2016,4387402,161491679,05/28/2016,05/28/2016,13:02:00,05/28/2016,13:12:00,105,APT,7-A,1141 MOBILE ST NW,0430,1315,,1,Day,Sat,18,AGG ASSAULT,Hunter Hills,K,-84.424530000000004,33.762619999999998
2016,4387403,161491696,05/28/2016,05/06/2016,02:00:00,05/28/2016,14:45:00,101,,2101,369 MCDANIEL ST SW,0521,2204,,2,Unk,Unk,26,BURGLARY-RESIDENCE,The Villages at Castleberry H,T,-84.405230000000003,33.745049999999999
2016,4387404,161491715,05/28/2016,05/28/2016,14:00:00,05/28/2016,14:30:00,603,,,464 ANGIER AVE NE,0640,2305,,1,Day,Sat,13,LARCENY-FROM VEHICLE,Old Fourth Ward,M,-84.371700000000004,33.766480000000001
2016,4387405,161491736,05/28/2016,05/27/2016,20:00:00,05/28/2016,15:25:00,205,,2029,1950 HOWELL MILL RD NW,0640,2305,,1,Unk,Sat,18,LARCENY-FROM VEHICLE,Wildwood (NPU-C),C,-84.412819999999996,33.808050000000001
2016,4387406,161491786,05/28/2016,05/28/2016,14:45:00,05/28/2016,16:07:00,503,,,132 10TH ST NE,0640,2305,,2,Eve,Sat,18,LARCENY-FROM VEHICLE,Midtown,E,-84.382499999999993,33.781750000000002
2016,4387407,161491929,05/28/2016,05/28/2016,12:00:00,05/28/2016,14:00:00,306,,,1747  METROPOLITAN PKWY SW,0650,2304,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.40813,33.705970000000001
